,answer_id,answer_string,id,part_id,problem_id,score,set_id,timestamp,user_id
97334,60003,"(C(52,5) - C(40,5)) -(C(52,5) - C(28,5))",30635,0,1,0,Assignment10.16.13,2013-10-17T05:11:02,lahuynh
97338,60006,"C(52,5) - C(40,5) - C(28,5)",30636,0,1,0,Assignment10.16.13,2013-10-17T05:11:32,lahuynh
97344,60011,"C(52,5) - C(40,5) - C(32,5)",30637,0,1,0,Assignment10.16.13,2013-10-17T05:13:07,lahuynh
97348,60015,"C(52,5) - C(40,5) * C(32,5)",30638,0,1,0,Assignment10.16.13,2013-10-17T05:13:59,lahuynh
97349,60016,"C(52,5) - C(40,5) + C(32,5)",30639,0,1,0,Assignment10.16.13,2013-10-17T05:14:06,lahuynh
97351,60018,"C(52,5) - C(40,5) - C(32,5)",30640,0,1,0,Assignment10.16.13,2013-10-17T05:14:13,lahuynh
97353,60020,"C(52,5) - C(40,5) - C(20,5)",30641,0,1,0,Assignment10.16.13,2013-10-17T05:15:08,lahuynh
97356,60023,"(40,5) - C(20,5)",30642,0,1,0,Assignment10.16.13,2013-10-17T05:16:02,lahuynh
97357,60024,"C(40,5) - C(20,5)",30643,0,1,0,Assignment10.16.13,2013-10-17T05:16:10,lahuynh
97359,60026,"C(52,5) - C(40,5) - C(20,5)",30644,0,1,0,Assignment10.16.13,2013-10-17T05:16:37,lahuynh
97376,60041,"C(52,5) - C(40,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1) -C(20,0)",30645,0,1,0,Assignment10.16.13,2013-10-17T05:20:59,lahuynh
97377,60042,"C(52,5) - C(40,5) - C(20,5)",30646,0,1,0,Assignment10.16.13,2013-10-17T05:21:28,lahuynh
97379,60046,"C(52,5) - C(40,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)",30647,0,1,0,Assignment10.16.13,2013-10-17T05:24:25,lahuynh
97384,60050,"C(52,5) - C(40,5) - C(52,5) C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)",30648,0,1,0,Assignment10.16.13,2013-10-17T05:24:54,lahuynh
97388,60053,"C(52,5) - C(40,5) - C(52,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)",30649,0,1,0,Assignment10.16.13,2013-10-17T05:25:32,lahuynh
97390,60055,"C(52,5) - C(40,5) - C(20,5)",30650,0,1,0,Assignment10.16.13,2013-10-17T05:25:48,lahuynh
97413,60073,"C(52,5) - C(40,5) - C(32,5)",30651,0,1,0,Assignment10.16.13,2013-10-17T05:31:16,lahuynh
97414,60074,"C(52,5) - C(40,5) - C(20,5)",30652,0,1,0,Assignment10.16.13,2013-10-17T05:31:42,lahuynh
97504,60158,"C(52,5) - C(40,5) *C(20,5)",30653,0,1,0,Assignment10.16.13,2013-10-17T05:56:19,lahuynh
97535,60174,"C(52,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)",30654,0,1,0,Assignment10.16.13,2013-10-17T05:59:22,lahuynh
97540,60177,"C(52,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1) - C(40,5)",30655,0,1,0,Assignment10.16.13,2013-10-17T06:00:11,lahuynh
97552,60183,"C(52,5) - (C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - C(40,5)",30656,0,1,0,Assignment10.16.13,2013-10-17T06:00:39,lahuynh
97574,60193,"C(52,5) - (C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1) + C(20,0)) - C(40,5)",30657,0,1,0,Assignment10.16.13,2013-10-17T06:03:14,lahuynh
97578,60195,"C(52,5) - (C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - C(40,5)",30658,0,1,0,Assignment10.16.13,2013-10-17T06:03:33,lahuynh
97594,60199,"C(52,5) - (C(20,5) * C(20,4) * C(20,3) * C(20,2) * C(20,1)) - C(40,5)",30659,0,1,0,Assignment10.16.13,2013-10-17T06:05:04,lahuynh
97600,60202,"C(52,5) - (C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - C(40,5)",30660,0,1,0,Assignment10.16.13,2013-10-17T06:05:26,lahuynh
97648,60242,"C(52,5) - C(36,5)",30661,0,1,0,Assignment10.16.13,2013-10-17T06:19:32,lahuynh
97649,60245,"C(52,5) - (C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - C(40,5)",30662,0,1,0,Assignment10.16.13,2013-10-17T06:21:12,lahuynh
97654,60251,"(C(52,5) - C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - (C(52,5) - C(40,5))",30663,0,1,0,Assignment10.16.13,2013-10-17T06:22:20,lahuynh
97655,60252,"C(52,5) - (C(52,5) - C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - (C(52,5) - C(40,5))",30664,0,1,0,Assignment10.16.13,2013-10-17T06:22:27,lahuynh
97656,60253,"(C(52,5) - C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - (C(52,5) - C(40,5))",30665,0,1,0,Assignment10.16.13,2013-10-17T06:22:39,lahuynh
97675,60268,"(C(52,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)) - (C(52,5) - C(40,5))",30666,0,1,0,Assignment10.16.13,2013-10-17T06:24:07,lahuynh
97676,60269,"C(52,5) - (C(52,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)) - (C(52,5) - C(40,5))",30667,0,1,0,Assignment10.16.13,2013-10-17T06:24:19,lahuynh
97681,60274,"C(32,5) + C(32,4) + C(32,3) + C(32,2) + C(32,1) - (C(52,5) - C(40,5))",30668,0,1,0,Assignment10.16.13,2013-10-17T06:25:59,lahuynh
97683,60276,"C(32,5) + C(32,4) + C(32,3) + C(32,2) + C(32,1) + (C(52,5) - C(40,5))",30669,0,1,0,Assignment10.16.13,2013-10-17T06:26:41,lahuynh
97684,60277,"C(52,5) - C(40,5) - C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1)",30670,0,1,0,Assignment10.16.13,2013-10-17T06:28:19,lahuynh
97685,60278,"C(52,5) - C(40,5) - (C(20,5) - C(20,4) - C(20,3) - C(20,2) - C(20,1))",30671,0,1,0,Assignment10.16.13,2013-10-17T06:28:33,lahuynh
97775,60353,"(C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - C(52,5) - C(40,5)",30672,0,1,0,Assignment10.16.13,2013-10-17T06:56:33,lahuynh
97778,60356,"(C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) - C(40,5)",30673,0,1,0,Assignment10.16.13,2013-10-17T06:56:59,lahuynh
97781,60359,"((C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) )",30674,0,1,0,Assignment10.16.13,2013-10-17T06:57:28,lahuynh
97784,60362,"C(52,5) - C(40,5) - ((C(20,5) + C(20,4) + C(20,3) + C(20,2) + C(20,1)) )",30675,0,1,0,Assignment10.16.13,2013-10-17T06:57:43,lahuynh
97795,60371,12,30676,0,1,0,Assignment10.16.13,2013-10-17T06:58:52,lahuynh
97825,60391,0,30677,0,1,0,Assignment10.16.13,2013-10-17T07:03:25,lahuynh
97834,60396,"C(20,0)",30678,0,1,0,Assignment10.16.13,2013-10-17T07:05:06,lahuynh
97839,60399,"C(52,5) - C(40,5) - C(20,0)",30679,0,1,0,Assignment10.16.13,2013-10-17T07:05:35,lahuynh
97840,60400,"C(52,5) - C(40,5) + C(20,0)",30680,0,1,0,Assignment10.16.13,2013-10-17T07:05:44,lahuynh
97856,60412,"C(52,5) - C(40,5) - C(32,5)",30681,0,1,0,Assignment10.16.13,2013-10-17T07:07:31,lahuynh
97861,60414,"C(52,5) - C(40,5) + C(32,5)",30682,0,1,0,Assignment10.16.13,2013-10-17T07:07:50,lahuynh
97862,60415,"(C(52,5) - C(40,5)) * C(32,5)",30683,0,1,0,Assignment10.16.13,2013-10-17T07:08:03,lahuynh
97866,60419,"(C(52,5) - C(40,5)) / C(32,5)",30684,0,1,0,Assignment10.16.13,2013-10-17T07:08:24,lahuynh
97869,60421,"(C(52,5) - C(40,5)) * C(32,5)",30685,0,1,0,Assignment10.16.13,2013-10-17T07:08:46,lahuynh
97881,60429,"C(32,5) - (C(52,5) - C(40,5))",30688,0,1,0,Assignment10.16.13,2013-10-17T07:10:09,lahuynh
97893,60439,"C(52,5) - C(40,5) - C(32,5)",30689,0,1,0,Assignment10.16.13,2013-10-17T07:10:52,lahuynh
97897,60443,"(C(52,5) - C(40,5)) ^C(32,5)",30690,0,1,0,Assignment10.16.13,2013-10-17T07:11:30,lahuynh
97898,60444,"(C(52,5) - C(40,5)) + C(32,5)",30691,0,1,0,Assignment10.16.13,2013-10-17T07:11:41,lahuynh
97906,60465,"(C(52,5) - C(40,5)) +  C(32,5)",30692,0,1,0,Assignment10.16.13,2013-10-17T07:12:58,lahuynh
97915,60472,"(C(52,5) - C(40,5)) + C(32,5) - (C(32,5)*(C(52,5)-C(40,5)))",30693,0,1,0,Assignment10.16.13,2013-10-17T07:13:47,lahuynh
97929,60483,"(C(52,5) - C(40,5)) + C(32,5) - (C(32,5)+(C(52,5)-C(40,5)))",30694,0,1,0,Assignment10.16.13,2013-10-17T07:15:59,lahuynh
98047,60554,"(C(32,5)+(C(52,5)-C(40,5))) - ((C(52,5) - C(40,5)) + C(32,5))",30695,0,1,0,Assignment10.16.13,2013-10-17T07:27:10,lahuynh
98053,60557,"(C(32,5)+(C(52,5)-C(40,5))) - (C(52,5) - C(40,5)) + C(32,5)",30696,0,1,0,Assignment10.16.13,2013-10-17T07:27:30,lahuynh
98057,60561,"(C(52,5) - C(40,5)) + C(32,5)",30697,0,1,0,Assignment10.16.13,2013-10-17T07:28:08,lahuynh
98059,60563,"1.94095E+06 + C(32,5)",30698,0,1,0,Assignment10.16.13,2013-10-17T07:28:41,lahuynh
98070,60568,"C(32,5) + 1.94095E+06 - C(32,5) + 1.94095E+06",30699,0,1,0,Assignment10.16.13,2013-10-17T07:30:01,lahuynh
98074,60572,"C(32,5) - C(40,5)",30700,0,1,0,Assignment10.16.13,2013-10-17T07:30:35,lahuynh
98075,60573,"C(40,5) - C(32,5)",30701,0,1,0,Assignment10.16.13,2013-10-17T07:30:46,lahuynh
98076,60574,"C(32,5)*(C(52,5) - C(40,5))",30702,0,1,0,Assignment10.16.13,2013-10-17T07:31:12,lahuynh
98079,60577,"C(32,5)-(C(52,5) - C(40,5))",30703,0,1,0,Assignment10.16.13,2013-10-17T07:31:53,lahuynh
98080,60578,"(C(52,5) - C(40,5)) - C(32,5)",30704,0,1,0,Assignment10.16.13,2013-10-17T07:32:06,lahuynh
98101,60589,"C(12,4)",30705,0,1,0,Assignment10.16.13,2013-10-17T07:35:06,lahuynh
98108,60596,"C(52,5) - C(40,5) - C(32,5)",30706,0,1,0,Assignment10.16.13,2013-10-17T07:37:19,lahuynh
98123,60604,"C(52,5) - C(40,5) + C(32,5) -C(20,5)",30707,0,1,0,Assignment10.16.13,2013-10-17T07:39:49,lahuynh
98143,60615,"C(52,5) - C(40,5) + C(32,5) -C(16,5)",30708,0,1,0,Assignment10.16.13,2013-10-17T07:41:22,lahuynh
98150,60618,"C(52,5) - C(40,5) + C(32,5) -C(20,5)",30709,0,1,0,Assignment10.16.13,2013-10-17T07:41:47,lahuynh
98151,60619,"C(52,5) - C(40,5) + C(32,5) -C(28,5)",30710,0,1,0,Assignment10.16.13,2013-10-17T07:43:50,lahuynh
98152,60620,"C(52,5) - C(40,5) + C(32,5) -C(12,5)",30711,0,1,0,Assignment10.16.13,2013-10-17T07:44:03,lahuynh
98153,60621,"C(52,5) - C(40,5) + C(32,5) -C(4,1)",30712,0,1,0,Assignment10.16.13,2013-10-17T07:44:14,lahuynh
98160,60624,"C(52,5) - C(40,5)- C(20,5)",30713,0,1,0,Assignment10.16.13,2013-10-17T07:45:42,lahuynh
98163,60627,"C(52,5) - C(40,5) - C(32,5)- C(20,5)",30714,0,1,0,Assignment10.16.13,2013-10-17T07:46:11,lahuynh
98166,60629,"C(52,5) - C(40,5) - C(32,5) - C(20,5)",30715,0,1,0,Assignment10.16.13,2013-10-17T07:47:01,lahuynh
98168,60631,"C(52,5) - C(40,5) + C(32,5) - C(20,5)",30716,0,1,0,Assignment10.16.13,2013-10-17T07:47:11,lahuynh
98258,60707,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 -  C(32,5))",30717,0,1,0,Assignment10.16.13,2013-10-17T08:18:16,lahuynh
98259,60708,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(32,5))",30718,0,1,0,Assignment10.16.13,2013-10-17T08:18:27,lahuynh
98262,60710,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - ( C(32,5) - 1.94095E+06)",30719,0,1,0,Assignment10.16.13,2013-10-17T08:19:03,lahuynh
98264,60712,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(20,5))",30720,0,1,0,Assignment10.16.13,2013-10-17T08:19:39,lahuynh
98268,60715,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - ((1.94095E+06 - C(20,5))",30721,0,1,0,Assignment10.16.13,2013-10-17T08:20:12,lahuynh
98269,60716,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(28,5))",30722,0,1,0,Assignment10.16.13,2013-10-17T08:20:28,lahuynh
98270,60717,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(40,5))",30723,0,1,0,Assignment10.16.13,2013-10-17T08:20:51,lahuynh
98271,60718,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(16,5))",30724,0,1,0,Assignment10.16.13,2013-10-17T08:21:28,lahuynh
98273,60720,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(24,5))",30725,0,1,0,Assignment10.16.13,2013-10-17T08:21:47,lahuynh
98274,60721,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(20,5))",30726,0,1,0,Assignment10.16.13,2013-10-17T08:23:02,lahuynh
98281,60724,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(12,5))",30727,0,1,0,Assignment10.16.13,2013-10-17T08:26:54,lahuynh
98286,60726,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (1.94095E+06 - C(32,5))",30728,0,1,0,Assignment10.16.13,2013-10-17T08:27:19,lahuynh
98290,60729,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (C(52,5) - C(40,5) - C(20,5))",30729,0,1,0,Assignment10.16.13,2013-10-17T08:28:23,lahuynh
98307,60742,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (C(52,5) - C(40,5) - C(47,5))",30730,0,1,0,Assignment10.16.13,2013-10-17T08:37:05,lahuynh
98308,60743,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (C(52,5) - C(40,5) - C(15,5))",30731,0,1,0,Assignment10.16.13,2013-10-17T08:37:23,lahuynh
98313,60748,"C(52,5) - C(40,5) + C(32,5) - C(20,5) - (C(52,5) - C(40,5) - C(20,5))",30732,0,1,0,Assignment10.16.13,2013-10-17T08:39:28,lahuynh
98396,60818,"[C(52,5) - C(40,5)] + C(32,5) - C(20,5) - [C(52,5) - C(40,5) - C(20,5)]",30733,0,1,0,Assignment10.16.13,2013-10-17T09:05:05,lahuynh
98402,60824,"[C(52,5) - C(40,5)] + C(32,5) - C(20,5) - [C(52,5) - C(40,5) - C(20,5)] - 1",30734,0,1,0,Assignment10.16.13,2013-10-17T09:10:12,lahuynh
98404,60826,"[C(52,5) - C(40,5)] + C(32,5) - C(20,5) - [C(52,5) - C(40,5) - C(20,5)] ",30735,0,1,0,Assignment10.16.13,2013-10-17T09:10:50,lahuynh
98429,60847,"[C(52,5) - C(40,5)] + C(32,5) - C(20,5)",30739,0,1,0,Assignment10.16.13,2013-10-17T09:17:42,lahuynh
98430,60848,"C(32,5) - C(20,5)",30740,0,1,1,Assignment10.16.13,2013-10-17T09:17:57,lahuynh
